Year,Month,Rainfall
1926,Jun,85.9
1926,Jul,230.6
1926,Aug,258
1926,Sep,147.7
1926,Oct,8.1
1926,Nov,8.3
1926,Dec,2.2
1927,Jan,0
1927,Feb,1
1927,Mar,0.9
1927,Apr,4.6
1927,May,9.3
1927,Jun,184.9
1927,Jul,318.7
1927,Aug,85.4
1927,Sep,183.6
1927,Oct,51.3
1927,Nov,83.3
1927,Dec,2
1928,Jan,0.1
1928,Feb,10.3
1928,Mar,3.7
1928,Apr,8
1928,May,0.3
1928,Jun,143.3
1928,Jul,217.7
1928,Aug,159.6
1928,Sep,209
1928,Oct,62.5
1928,Nov,3.1
1928,Dec,14.1
1929,Jan,1
1929,Feb,6.4
1929,Mar,2
1929,Apr,37.1
1929,May,6.4
1929,Jun,155.9
1929,Jul,168.2
1929,Aug,73.7
1929,Sep,151.6
1929,Oct,82.5
1929,Nov,3.4
1929,Dec,2.2
1930,Jan,0
1930,Feb,0
1930,Mar,0.7
1930,Apr,3.2
1930,May,29.8
1930,Jun,178.1
1930,Jul,233.7
1930,Aug,106.5
1930,Sep,247
1930,Oct,87.4
1930,Nov,37.7
1930,Dec,5
1931,Jan,0
1931,Feb,0
1931,Mar,0.6
1931,Apr,14
1931,May,2.9
1931,Jun,109.7
1931,Jul,316.3
1931,Aug,233.5
1931,Sep,178.9
1931,Oct,180.9
1931,Nov,70.2
1931,Dec,25.3
1932,Jan,0
1932,Feb,0.5
1932,Mar,8.6
1932,Apr,22.3
1932,May,27.3
1932,Jun,67.3
1932,Jul,351.7
1932,Aug,221.3
1932,Sep,162.8
1932,Oct,148.4
1932,Nov,30.8
1932,Dec,4
1933,Jan,1.4
1933,Feb,0.5
1933,Mar,3.4
1933,Apr,8.5
1933,May,76.5
1933,Jun,182.3
1933,Jul,194.7
1933,Aug,259.4
1933,Sep,286.1
1933,Oct,93.3
1933,Nov,24
1933,Dec,22.3
1934,Jan,3.7
1934,Feb,0
1934,Mar,1.9
1934,Apr,7.3
1934,May,8
1934,Jun,138.2
1934,Jul,217
1934,Aug,222.3
1934,Sep,136.8
1934,Oct,41.2
1934,Nov,82
1934,Dec,0
1935,Jan,2.5
1935,Feb,0
1935,Mar,0
1935,Apr,3.7
1935,May,1.4
1935,Jun,149.6
1935,Jul,208.6
1935,Aug,195.5
1935,Sep,126.7
1935,Oct,119.4
1935,Nov,7.7
1935,Dec,3.9
1936,Jan,1.3
1936,Feb,6.2
1936,Mar,4.3
1936,Apr,3.8
1936,May,21.1
1936,Jun,169.2
1936,Jul,113.9
1936,Aug,106.3
1936,Sep,161.5
1936,Oct,17.2
1936,Nov,130.4
1936,Dec,0.3
1937,Jan,0
1937,Feb,2
1937,Mar,2
1937,Apr,47.7
1937,May,4.7
1937,Jun,146.7
1937,Jul,319.4
1937,Aug,63.6
1937,Sep,219.9
1937,Oct,96.1
1937,Nov,1.3
1937,Dec,11
1938,Jan,0.6
1938,Feb,1
1938,Mar,23.5
1938,Apr,12.2
1938,May,50.4
1938,Jun,239.9
1938,Jul,286.6
1938,Aug,169.4
1938,Sep,191.5
1938,Oct,141.3
1938,Nov,7.6
1938,Dec,2.3
1939,Jan,0.2
1939,Feb,0.2
1939,Mar,4.1
1939,Apr,6.3
1939,May,1.1
1939,Jun,127.6
1939,Jul,303.9
1939,Aug,219.9
1939,Sep,88.5
1939,Oct,41.8
1939,Nov,27.3
1939,Dec,0.8
1940,Jan,1.3
1940,Feb,1.8
1940,Mar,0.5
1940,Apr,16.5
1940,May,15.8
1940,Jun,191.3
1940,Jul,215.9
1940,Aug,188.7
1940,Sep,132
1940,Oct,95.2
1940,Nov,30.1
1940,Dec,4.2
1941,Jan,28.2
1941,Feb,8
1941,Mar,1.8
1941,Apr,5.4
1941,May,4.2
1941,Jun,96.1
1941,Jul,338.6
1941,Aug,103.7
1941,Sep,143.3
1941,Oct,44.5
1941,Nov,0.1
1941,Dec,0.4
1942,Jan,0.2
1942,Feb,2.5
1942,Mar,0.2
1942,Apr,6.7
1942,May,10
1942,Jun,213.3
1942,Jul,364.7
1942,Aug,191.6
1942,Sep,93.8
1942,Oct,20
1942,Nov,1.3
1942,Dec,36.9
1943,Jan,4.1
1943,Feb,0
1943,Mar,1.5
1943,Apr,3.5
1943,May,63.4
1943,Jun,150.5
1943,Jul,316.4
1943,Aug,80.9
1943,Sep,166.2
1943,Oct,196
1943,Nov,10.6
1943,Dec,0
1944,Jan,0.8
1944,Feb,0.7
1944,Mar,10.3
1944,Apr,0.1
1944,May,21.4
1944,Jun,132.2
1944,Jul,421.7
1944,Aug,227.8
1944,Sep,142.1
1944,Oct,115.3
1944,Nov,13.6
1944,Dec,0
1945,Jan,4.2
1945,Feb,0
1945,Mar,0
1945,Apr,9.8
1945,May,5.2
1945,Jun,125.6
1945,Jul,263.7
1945,Aug,209
1945,Sep,132.4
1945,Oct,37.1
1945,Nov,6.3
1945,Dec,0
1946,Jan,0
1946,Feb,2.9
1946,Mar,0
1946,Apr,22
1946,May,34.3
1946,Jun,138.4
1946,Jul,288.5
1946,Aug,255.9
1946,Sep,170.3
1946,Oct,23.1
1946,Nov,152.8
1946,Dec,15.4
1947,Jan,18.7
1947,Feb,1.4
1947,Mar,4.4
1947,Apr,31
1947,May,19.6
1947,Jun,63
1947,Jul,230.6
1947,Aug,272.8
1947,Sep,216.2
1947,Oct,23
1947,Nov,10.3
1947,Dec,14.6
1948,Jan,16.9
1948,Feb,0.7
1948,Mar,4.3
1948,Apr,7.6
1948,May,8.9
1948,Jun,191
1948,Jul,239.6
1948,Aug,181.4
1948,Sep,162
1948,Oct,66.6
1948,Nov,137.1
1948,Dec,0.1
1949,Jan,0
1949,Feb,0
1949,Mar,2
1949,Apr,4.8
1949,May,58.4
1949,Jun,102
1949,Jul,201.3
1949,Aug,174
1949,Sep,323.1
1949,Oct,82.2
1949,Nov,5.7
1949,Dec,0
1950,Jan,0
1950,Feb,0.2
1950,Mar,1.5
1950,Apr,5.9
1950,May,23.2
1950,Jun,59.5
1950,Jul,400.2
1950,Aug,102.9
1950,Sep,248.8
1950,Oct,87.3
1950,Nov,2.2
1950,Dec,0.8
1951,Jan,0.1
1951,Feb,0
1951,Mar,0.5
1951,Apr,9.3
1951,May,29.5
1951,Jun,150.1
1951,Jul,250.2
1951,Aug,136.3
1951,Sep,71.7
1951,Oct,128.9
1951,Nov,20.1
1951,Dec,0
1952,Jan,0
1952,Feb,1.9
1952,Mar,0
1952,Apr,8.9
1952,May,18.9
1952,Jun,131.2
1952,Jul,268.8
1952,Aug,139.1
1952,Sep,57.1
1952,Oct,56.7
1952,Nov,0
1952,Dec,0.8
1953,Jan,1.2
1953,Feb,0
1953,Mar,0.1
1953,Apr,24.5
1953,May,2
1953,Jun,186.3
1953,Jul,216.5
1953,Aug,220.2
1953,Sep,126.8
1953,Oct,116.1
1953,Nov,0
1953,Dec,0
1954,Jan,2
1954,Feb,0.4
1954,Mar,16
1954,Apr,6
1954,May,15.8
1954,Jun,158.5
1954,Jul,305.3
1954,Aug,171.7
1954,Sep,263
1954,Oct,30.1
1954,Nov,0
1954,Dec,16.2
1955,Jan,3.2
1955,Feb,0
1955,Mar,6.8
1955,Apr,12.2
1955,May,25.8
1955,Jun,140.9
1955,Jul,149.6
1955,Aug,254.3
1955,Sep,218.9
1955,Oct,159
1955,Nov,10.4
1955,Dec,0
1956,Jan,1.5
1956,Feb,0.2
1956,Mar,1.1
1956,Apr,11.3
1956,May,91.2
1956,Jun,111
1956,Jul,360.5
1956,Aug,252
1956,Sep,165.8
1956,Oct,148
1956,Nov,90.1
1956,Dec,1.1
1957,Jan,0.1
1957,Feb,0
1957,Mar,4.8
1957,Apr,20.9
1957,May,36.9
1957,Jun,177.8
1957,Jul,196.4
1957,Aug,202.2
1957,Sep,98.7
1957,Oct,85.1
1957,Nov,26.8
1957,Dec,0.1
1958,Jan,1.6
1958,Feb,0
1958,Mar,5.4
1958,Apr,23.6
1958,May,32.9
1958,Jun,101.9
1958,Jul,393.3
1958,Aug,296.6
1958,Sep,112.1
1958,Oct,57.4
1958,Nov,29.2
1958,Dec,0.1
1959,Jan,2.4
1959,Feb,0
1959,Mar,0
1959,Apr,16.8
1959,May,39.3
1959,Jun,174.7
1959,Jul,344.3
1959,Aug,199
1959,Sep,202.7
1959,Oct,84.7
1959,Nov,54.9
1959,Dec,0.1
1960,Jan,3.6
1960,Feb,0
1960,Mar,3
1960,Apr,5.1
1960,May,61.3
1960,Jun,146.4
1960,Jul,235
1960,Aug,138
1960,Sep,229
1960,Oct,44.9
1960,Nov,18.8
1960,Dec,0.8
1961,Jan,0.3
1961,Feb,0.1
1961,Mar,0.5
1961,Apr,9.8
1961,May,104.2
1961,Jun,163.5
1961,Jul,411.9
1961,Aug,135
1961,Sep,104.8
1961,Oct,128
1961,Nov,10
1961,Dec,2.5
1962,Jan,0.2
1962,Feb,0.1
1962,Mar,6.7
1962,Apr,12.9
1962,May,57.2
1962,Jun,46.8
1962,Jul,287.5
1962,Aug,164
1962,Sep,199.9
1962,Oct,51.9
1962,Nov,23
1962,Dec,48.8
1963,Jan,0.8
1963,Feb,4.3
1963,Mar,14
1963,Apr,12
1963,May,23.3
1963,Jun,138.6
1963,Jul,252.3
1963,Aug,268.7
1963,Sep,72.7
1963,Oct,93.5
1963,Nov,19.1
1963,Dec,0.6
1964,Jan,0
1964,Feb,0
1964,Mar,4.1
1964,Apr,6.2
1964,May,7
1964,Jun,139.8
1964,Jul,238.9
1964,Aug,242.3
1964,Sep,223.1
1964,Oct,60
1964,Nov,23.3
1964,Dec,0.9
1965,Jan,5.8
1965,Feb,0.2
1965,Mar,0.3
1965,Apr,10.2
1965,May,12.3
1965,Jun,82.9
1965,Jul,380.7
1965,Aug,200.3
1965,Sep,54.8
1965,Oct,10
1965,Nov,4.6
1965,Dec,28.5
1966,Jan,1.9
1966,Feb,0.5
1966,Mar,1.4
1966,Apr,2.1
1966,May,81.5
1966,Jun,83.8
1966,Jul,315
1966,Aug,94
1966,Sep,149
1966,Oct,14.5
1966,Nov,82.6
1966,Dec,11.2
1967,Jan,0
1967,Feb,0.1
1967,Mar,4.7
1967,Apr,13.3
1967,May,7.8
1967,Jun,130.4
1967,Jul,367.4
1967,Aug,139
1967,Sep,146.7
1967,Oct,43.1
1967,Nov,2.1
1967,Dec,58.6
1968,Jan,1.6
1968,Feb,3.6
1968,Mar,9.4
1968,Apr,11.2
1968,May,2.5
1968,Jun,95.4
1968,Jul,238.9
1968,Aug,213.3
1968,Sep,172.1
1968,Oct,60.6
1968,Nov,15.1
1968,Dec,0.3
1969,Jan,0.2
1969,Feb,0
1969,Mar,1.4
1969,Apr,5.8
1969,May,4
1969,Jun,140.1
1969,Jul,307.1
1969,Aug,248.3
1969,Sep,234
1969,Oct,20.1
1969,Nov,22.3
1969,Dec,0.9
1970,Jan,1
1970,Feb,0
1970,Mar,0.6
1970,Apr,17.9
1970,May,39.1
1970,Jun,195.4
1970,Jul,200.1
1970,Aug,254.9
1970,Sep,161.3
1970,Oct,70.9
1970,Nov,0
1970,Dec,0
1971,Jan,0
1971,Feb,0
1971,Mar,0.1
1971,Apr,3.8
1971,May,43.3
1971,Jun,155.6
1971,Jul,124.9
1971,Aug,204
1971,Sep,185.6
1971,Oct,56
1971,Nov,0
1971,Dec,0
1972,Jan,0
1972,Feb,0.2
1972,Mar,0
1972,Apr,4
1972,May,13.8
1972,Jun,90.4
1972,Jul,195.1
1972,Aug,99.3
1972,Sep,88.1
1972,Oct,7.3
1972,Nov,21.6
1972,Dec,0.1
1973,Jan,0
1973,Feb,3
1973,Mar,1.8
1973,Apr,3.2
1973,May,10.1
1973,Jun,124.7
1973,Jul,312
1973,Aug,243.9
1973,Sep,172.8
1973,Oct,104.8
1973,Nov,3.9
1973,Dec,0.4
1974,Jan,0
1974,Feb,0.1
1974,Mar,2.5
1974,Apr,14.6
1974,May,60.9
1974,Jun,77.5
1974,Jul,217.9
1974,Aug,184.7
1974,Sep,201.5
1974,Oct,152
1974,Nov,0.1
1974,Dec,0
1975,Jan,0.4
1975,Feb,1.1
1975,Mar,0.1
1975,Apr,1
1975,May,15.4
1975,Jun,165.6
1975,Jul,228
1975,Aug,223.2
1975,Sep,242.8
1975,Oct,158.3
1975,Nov,4.8
1975,Dec,0
1976,Jan,0.1
1976,Feb,0
1976,Mar,6
1976,Apr,3.4
1976,May,3.3
1976,Jun,283.6
1976,Jul,315.6
1976,Aug,240.8
1976,Sep,87.7
1976,Oct,14.3
1976,Nov,68.9
1976,Dec,2.2
1977,Jan,0
1977,Feb,0.1
1977,Mar,7.1
1977,Apr,9.9
1977,May,31.3
1977,Jun,209
1977,Jul,262.5
1977,Aug,150.4
1977,Sep,94.6
1977,Oct,64.4
1977,Nov,112.1
1977,Dec,5.7
1978,Jan,0.7
1978,Feb,10.8
1978,Mar,4.6
1978,Apr,22.2
1978,May,33.1
1978,Jun,174.2
1978,Jul,179.6
1978,Aug,211.8
1978,Sep,124.1
1978,Oct,57
1978,Nov,63.5
1978,Dec,2.1
1979,Jan,3.5
1979,Feb,1.8
1979,Mar,5.3
1979,Apr,1
1979,May,7.1
1979,Jun,129.7
1979,Jul,194.5
1979,Aug,299
1979,Sep,249.9
1979,Oct,46
1979,Nov,88.4
1979,Dec,0.5
1980,Jan,0
1980,Feb,0
1980,Mar,1.5
1980,Apr,16.1
1980,May,8.6
1980,Jun,279.2
1980,Jul,197.4
1980,Aug,286.6
1980,Sep,89.2
1980,Oct,14.7
1980,Nov,29.8
1980,Dec,16.4
1981,Jan,10.5
1981,Feb,0
1981,Mar,3.7
1981,Apr,6.8
1981,May,7.7
1981,Jun,135.9
1981,Jul,248.9
1981,Aug,188.6
1981,Sep,253.7
1981,Oct,56.8
1981,Nov,11
1981,Dec,6.2
1982,Jan,2.1
1982,Feb,0.2
1982,Mar,0.2
1982,Apr,6.3
1982,May,33.8
1982,Jun,114.6
1982,Jul,187.7
1982,Aug,186.6
1982,Sep,119.5
1982,Oct,55.2
1982,Nov,45.8
1982,Dec,0
1983,Jan,0.1
1983,Feb,1.4
1983,Mar,0
1983,Apr,0
1983,May,2.8
1983,Jun,125.3
1983,Jul,218.1
1983,Aug,259.4
1983,Sep,263
1983,Oct,43.2
1983,Nov,2.5
