Year,Month,Rainfall
2010,Dec,0.2
2011,Jan,0
2011,Feb,0.3
2011,Mar,0.3
2011,Apr,5
2011,May,2.9
2011,Jun,133.3
2011,Jul,261.4
2011,Aug,238.1
2011,Sep,148.4
2011,Oct,62.8
2011,Nov,0
2011,Dec,0
2012,Jan,0
2012,Feb,0
2012,Mar,0
2012,Apr,3
2012,May,1.4
2012,Jun,67.9
2012,Jul,203
2012,Aug,187.8
2012,Sep,129.5
2012,Oct,95.2
2012,Nov,2.2
2012,Dec,0
2013,Jan,0.1
2013,Feb,5.3
2013,Mar,0.8
2013,Apr,5.7
2013,May,6
2013,Jun,212.4
2013,Jul,311.8
2013,Aug,147
2013,Sep,210.3
2013,Oct,57.8
2013,Nov,4
2013,Dec,1.3
2014,Jan,3.1
2014,Feb,6.2
2014,Mar,24.4
2014,Apr,7.5
2014,May,29.8
2014,Jun,44
2014,Jul,277.9
2014,Aug,240.3
2014,Sep,120.4
2014,Oct,38.5
2014,Nov,32.8
2014,Dec,13.1
2015,Jan,1.4
2015,Feb,0.8
2015,Mar,41.2
2015,Apr,9.6
2015,May,24.4
2015,Jun,177
2015,Jul,111.7
2015,Aug,67.2
2015,Sep,146.6
2015,Oct,48.3
2015,Nov,16.2
2015,Dec,0.1
2016,Jan,0
2016,Feb,0.7
2016,Mar,7.1
2016,Apr,1.4
2016,May,7.7
2016,Jun,100.7
2016,Jul,319.6
2016,Aug,232.7
2016,Sep,171.9
2016,Oct,62.4
2016,Nov,1.1
2016,Dec,0.9
2017,Jan,0
2017,Feb,0
2017,Mar,0.4
2017,Apr,0.8
2017,May,18
2017,Jun,189.2
2017,Jul,280.9
2017,Aug,192
2017,Sep,190.1
2017,Oct,112.8
2017,Nov,5
2017,Dec,5.1
2018,Jan,0
2018,Feb,0
2018,Mar,3.14448114
2018,Apr,1.92699406
2018,May,12.88658375
2018,Jun,155.1600264
2018,Jul,250.9730263
2018,Aug,203.6405144
2018,Sep,164.6351429
2018,Oct,68.97461571
2018,Nov,15.411257
2018,Dec,0.34225687
2019,Jan,0
2019,Feb,0
2019,Mar,2.84430148
2019,Apr,1.6268144
2019,May,12.5864041
2019,Jun,154.8598467
2019,Jul,250.6728467
2019,Aug,203.3403347
2019,Sep,164.3349632
2019,Oct,68.67443605
2019,Nov,15.11107734
2019,Dec,0.04207721
